No, you don't	90	0
Both	19	0
I'm sure they are	183	0
I will, I promise	57	0
Yes, I understand	31	0
That's a great book!	106	0
That sounds like a great time	20	0
She is	183	0
Yes, we have	83	0
That's a tough question	55	0
Can I help you?	173	0
I'm sorry, Mr	21	0
You should go!	57	0
I love you too, Mom	117	1
Yes, certainly	0	0
That's definitely true	27	0
See u	74	0
Good, good	22	1
You?	140	1
That's not an excuse	138	0
If you say so	19	0
I don't remember	9	0
OK. See you later	133	0
So what happened?	78	0
You're probably right	47	0
Ok, got it	184	0
Oh really	114	0
Yuck!	34	0
Yeah, I love it	175	0
Neat!	11	0
Sure. Here you go	185	0
So, what do you think?	69	0
I see what you mean	8	0
That's good advice	68	0
Aw, thank you	4	0
Thanks for reminding me	128	0
Count me in!	136	0
I sure hope so	32	0
Duh!	34	1
Dad!	34	1
That really sucks	80	0
Good luck with that	68	0
Where do you want to go?	126	0
Why do you think so?	69	0
You're lucky	123	0
Yeah, it was great	124	0
No, never	54	0
Of course, no problem	12	0
Oh, please	59	0
That's a good choice	63	0
It's hard to say	137	0
Almost	19	0
Me too! They're so good	3	0
I sure do!	60	0
Hello?	186	0
Aww, thank you!	4	0
I'm on my way	163	0
I think I will	57	0
Ok thx	187	0
How old are you?	122	0
Coming	163	0
I'm doing alright, thanks for asking	62	0
I will. Thanks again	57	0
No, I'm sorry	138	0
I'm good too	62	0
And you?	140	1
I love to travel	188	0
It's good	22	0
I haven't decided yet	105	0
Thank goodness	4	0
I said I was sorry	21	0
Yeah, thanks	53	0
Not necessarily	39	0
We'll see about that	15	0
Very funny	22	0
I don't believe it	9	0
Cool, thanks	67	0
Sure, go ahead	7	0
No probs	12	0
What did he do?	43	0
Oh wow, that's awesome!	2	0
All right, sir	79	1
What's your favorite color?	150	0
How old is he?	168	0
Very interesting	25	0
This is ridiculous	137	1
I'm so excited!	35	0
I'd like to	182	0
Ok, let me know	187	0
Just a minute	171	0
Is everything okay?	148	0
How long will it take?	168	0
Yeah, I remember	6	0
Oh no, that's terrible!	108	0
What was it?	43	0
I wish you luck	4	0
What are you saying?	29	0
Hurry up!	101	0
I'll take it!	146	0
Okay, that makes sense	125	0
That's a good question	55	0
Where did you go?	126	0
That's not a bad idea	189	0
There	98	0
Yeah, I feel the same way	40	0
How was your day?	141	0
What's happening?	85	0
That's not a problem	108	0
I'm coming	163	0
It's all right	28	0
Fun!	35	0
It's fine	42	0
Sure, what do you need?	120	0
You will	57	0
I'm glad you like them	104	0
I'm fine, thank you	42	0
I'll keep that in mind	146	0
What's your favorite band?	150	0
What can I do for you?	122	0
Ahh	59	0
That's so nice of you!	123	0
So, what's new with you?	85	0
That sounds reasonable	94	0
Oh, that's no problem	12	0
You're welcome. Have a nice day!	23	0
Oops!	34	0
What did you say?	14	0
That's a great movie!	106	0
Hi, I'm [name]	41	0
Let me think	15	0
What did you see?	43	0
It sure was	36	0
Go on	72	0
No, sorry	91	0
Now?	10	1
That's so cute!	2	0
I'm sure you are	66	0
Morning	84	0
I can only imagine	32	0
Yes, yes	0	1
What are they?	43	0
Yes, Mr	65	0
No, what?	78	0
Aha!	48	1
Is it serious?	102	0
Love you	117	0
Hello, Mr	41	0
What kind?	43	0
A little	171	0
He is	183	0
I love cats!	167	0
All right then	28	0
No, what happened?	78	0
Haha, yeah	86	0
What do you mean by that?	29	0
Sure, that sounds great	116	0
It looks great!	106	0
I got it	101	0
That's a great song!	106	0
Oh, don't worry about it	49	0
Don't worry about that	49	0
OK, I'll try	155	0
It's beautiful!	106	0
